판매일,오프라인(대형서점),,오프라인(지역서점),,온라인,
,부수,금액,부수,금액,부수,금액
23년 01월,"21,158","299,227,970","1,305","15,597,210","35,605","497,203,516"
23년 02월,"21,874","333,218,070","1,535","18,331,350","39,660","586,640,247"
23년 03월,"22,738","345,169,320","1,398","16,887,240","41,993","645,639,274"
23년 04월,"22,210","333,203,190","1,314","15,538,710","37,219","561,661,549"
23년 05월,"23,218","358,365,690","1,321","15,724,800","38,564","601,654,313"
23년 06월,"22,954","345,888,160","1,356","16,365,030","38,454","580,394,812"
23년 07월,"22,692","347,487,430","1,568","18,924,900","37,610","567,191,637"
23년 08월,"23,653","359,412,010","1,854","22,160,240","39,296","607,713,226"
23년 09월,"22,977","360,739,680","1,618","19,007,170","40,096","616,474,694"
23년 10월,"25,393","370,890,700","2,128","24,374,895","45,164","660,431,138"
23년 11월,"24,148","368,234,610","1,785","22,075,835","46,190","696,955,281"
23년 12월,"33,149","498,607,360","2,448","30,479,850","52,417","792,799,018"
24년 01월,"21,390","268,300,800","2,050","24,833,020","42,731","526,862,340"
24년 02월,"20,005","249,504,000","1,987","24,571,915","35,393","437,864,864"
24년 03월,"21,205","262,301,100","2,250","27,708,500","39,648","477,441,787"
24년 04월,"24,061","293,972,800","2,163","27,165,340","44,466","511,140,362"
24년 05월,"28,520","347,179,600","2,640","32,457,390","43,632","506,578,985"
24년 06월,"26,123","319,560,050","2,749","31,507,370","44,369","521,080,939"
24년 07월,"26,800","318,896,020","2,852","35,148,550","45,392","533,848,510"
24년 08월,"26,651","316,450,250","2,862","35,866,290","43,327","516,246,738"
24년 09월,"27,081","330,417,950","1,933","23,105,380","40,347","483,380,787"
