판매일,대형서점_부수,대형서점_금액,지역서점_부수,지역서점_금액,온라인_부수,온라인_금액,장르,판매 부수 합계,판매 금액 합계
23년 01월,21158,299227970,1305,15597210,35605,497203516,시,58068,812028696
23년 02월,21874,333218070,1535,18331350,39660,586640247,시,63069,938189667
23년 03월,22738,345169320,1398,16887240,41993,645639274,시,66129,1007695834
23년 04월,22210,333203190,1314,15538710,37219,561661549,시,60743,910403449
23년 05월,23218,358365690,1321,15724800,38564,601654313,시,63103,975744803
23년 06월,22954,345888160,1356,16365030,38454,580394812,시,62764,942648002
23년 07월,22692,347487430,1568,18924900,37610,567191637,시,61870,933603967
23년 08월,23653,359412010,1854,22160240,39296,607713226,시,64803,989285476
23년 09월,22977,360739680,1618,19007170,40096,616474694,시,64691,996221544
23년 10월,25393,370890700,2128,24374895,45164,660431138,시,72685,1055696733
23년 11월,24148,368234610,1785,22075835,46190,696955281,시,72123,1087265726
23년 12월,33149,498607360,2448,30479850,52417,792799018,시,88014,1321886228
24년 01월,21390,268300800,2050,24833020,42731,526862340,시,66171,819996160
24년 02월,20005,249504000,1987,24571915,35393,437864864,시,57385,711940779
24년 03월,21205,262301100,2250,27708500,39648,477441787,시,63103,767451387
24년 04월,24061,293972800,2163,27165340,44466,511140362,시,70690,832278502
24년 05월,28520,347179600,2640,32457390,43632,506578985,시,74792,886215975
24년 06월,26123,319560050,2749,31507370,44369,521080939,시,73241,872148359
24년 07월,26800,318896020,2852,35148550,45392,533848510,시,75044,887893080
24년 08월,26651,316450250,2862,35866290,43327,516246738,시,72840,868563278
24년 09월,27081,330417950,1933,23105380,40347,483380787,시,69361,836904117
23년 01월,185145,2705131624,12809,172991650,269405,4086805661,소설,467359,6964928935
23년 02월,163837,2456680848,12064,163760303,246990,3622245781,소설,422891,6242686932
23년 03월,187243,2734085761,13605,181107565,288700,4229301441,소설,489548,7144494767
23년 04월,180066,2615823800,10026,133572540,249828,3639775831,소설,439920,6389172171
23년 05월,186859,2752041990,12130,163711570,246590,3883617315,소설,445579,6799370875
23년 06월,160505,2380101230,10518,143345075,221134,3283938363,소설,392157,5807384668
23년 07월,187910,2617835830,13056,177446095,249724,3726207355,소설,450690,6521489280
23년 08월,188071,2619861050,18684,260034376,273586,4301045658,소설,480341,7180941084
23년 09월,180129,2660806220,14929,215536338,279847,4757254147,소설,474905,7633596705
23년 10월,193309,2829749530,16461,236368938,263397,4271098752,소설,473167,7337217220
23년 11월,182194,2703845385,15796,228855900,287013,4556803708,소설,485003,7489504993
23년 12월,253698,3886377270,21736,323907755,336508,5515591125,소설,611942,9725876150
24년 01월,165290,2425203100,65189,647178010,264962,3921515729,소설,495441,6993896839
24년 02월,167249,2454699800,16807,242263705,237544,3524011276,소설,421600,6220974781
24년 03월,169283,2489120920,19201,273621915,271523,3910018377,소설,460007,6672761212
24년 04월,159963,2344121720,16715,253883766,230426,3297657697,소설,407104,5895663183
24년 05월,194861,2853700700,21692,308983202,251288,3752609346,소설,467841,6915293248
24년 06월,187031,2733750800,18610,263824103,276311,3986462533,소설,481952,6984037436
24년 07월,214034,3121616700,23518,338777671,300400,4408803932,소설,537952,7869198303
24년 08월,212006,3150781900,23863,351721509,336596,5159829986,소설,572465,8662333395
24년 09월,216238,3266547300,14611,221827671,308485,4741019598,소설,539334,8229394569
23년 01월,191021,3031185440,12971,193311889,297864,4644683606,수필,501856,7869180935
23년 02월,173657,2795191780,12755,192996045,264277,4114153309,수필,450689,7102341134
23년 03월,168674,2736273180,11915,178981505,268351,4147340450,수필,448940,7062595135
23년 04월,162586,2649219930,9388,133923390,255405,3831353113,수필,427379,6614496433
23년 05월,170702,2737696060,11519,176637308,247796,3827694981,수필,430017,6742028349
23년 06월,169275,2776919920,10758,162214685,266315,4164030050,수필,446348,7103164655
23년 07월,183565,3097953100,13387,205938146,293106,4950766459,수필,490058,8254657705
23년 08월,176440,2976961500,16640,262755542,284117,4691690699,수필,477197,7931407741
23년 09월,168258,2824346720,15321,248791729,284553,4591636825,수필,468132,7664775274
23년 10월,173214,2881390290,14576,229191058,252356,4004017748,수필,440146,7114599096
23년 11월,153722,2534046910,14365,223290652,281412,4504167482,수필,449499,7261505044
23년 12월,209371,3495342780,19553,311100505,349560,5720703946,수필,578484,9527147231
24년 01월,164085,2757816700,13798,219346220,290365,4717248300,수필,468248,7694411220
24년 02월,161106,2713254430,15505,246309905,246084,3969222150,수필,422695,6928786485
24년 03월,161060,2729417780,16042,254413955,297586,4845888926,수필,474688,7829720661
24년 04월,176810,3023081300,16161,272631632,281431,4558867907,수필,474402,7854580839
24년 05월,196455,3353767290,18149,300703877,299454,4898535553,수필,514058,8553006720
24년 06월,177978,3058403230,17197,276741509,282593,4629089080,수필,477768,7964233819
24년 07월,182169,3113084840,18281,299302030,298963,4902020554,수필,499413,8314407424
24년 08월,166041,2832137480,24246,410949808,287874,4674425272,수필,478161,7917512560
24년 09월,158812,2718962440,10823,175533863,249392,4043327734,수필,419027,6937824037
